model,isl,L,K,onepass_s2_hs1,onepass_s3_hs1,onepass_s3_hs2
flash,1024k,2,512,1,1,1
flash,1024k,4,512,1,1,1
flash,1024k,6,512,1,1,1
flash,1024k,8,512,1,1,1
flash,1024k,10,512,1,1,1
flash,1024k,12,512,1,1,1
flash,1024k,14,512,1,1,1
flash,1024k,16,512,1,1,1
flash,1024k,18,512,1,1,1
flash,1024k,20,512,1,1,1
flash,1024k,22,512,1,1,1
flash,1024k,24,512,1,1,1
flash,1024k,26,512,1,1,1
flash,1024k,28,512,1,1,1
flash,1024k,30,512,1,1,1
flash,1024k,32,512,1,1,1
flash,1024k,34,512,1,1,1
flash,1024k,36,512,1,1,1
flash,1024k,38,512,1,1,1
flash,1024k,40,512,1,1,1
flash,1024k,42,512,1,1,1
flash,128k,2,512,1,1,1
flash,128k,4,512,1,1,1
flash,128k,6,512,1,1,1
flash,128k,8,512,1,1,1
flash,128k,10,512,1,1,1
flash,128k,12,512,1,1,1
flash,128k,14,512,1,1,1
flash,128k,16,512,1,1,1
flash,128k,18,512,1,1,1
flash,128k,20,512,1,1,1
flash,128k,22,512,1,1,1
flash,128k,24,512,1,1,1
flash,128k,26,512,1,1,1
flash,128k,28,512,1,1,1
flash,128k,30,512,1,1,1
flash,128k,32,512,1,1,1
flash,128k,34,512,1,1,1
flash,128k,36,512,1,1,1
flash,128k,38,512,1,1,1
flash,128k,40,512,1,1,1
flash,128k,42,512,1,1,1
flash,256k,2,512,1,1,1
flash,256k,4,512,1,1,1
flash,256k,6,512,1,1,1
flash,256k,8,512,1,1,1
flash,256k,10,512,1,1,1
flash,256k,12,512,1,1,1
flash,256k,14,512,1,1,1
flash,256k,16,512,1,1,1
flash,256k,18,512,1,1,1
flash,256k,20,512,1,1,1
flash,256k,22,512,1,1,1
flash,256k,24,512,1,1,1
flash,256k,26,512,1,1,1
flash,256k,28,512,1,1,1
flash,256k,30,512,1,1,1
flash,256k,32,512,1,1,1
flash,256k,34,512,1,1,1
flash,256k,36,512,1,1,1
flash,256k,38,512,1,1,1
flash,256k,40,512,1,1,1
flash,256k,42,512,1,1,1
flash,512k,2,512,1,1,1
flash,512k,4,512,1,1,1
flash,512k,6,512,1,1,1
flash,512k,8,512,1,1,1
flash,512k,10,512,1,1,1
flash,512k,12,512,1,1,1
flash,512k,14,512,1,1,1
flash,512k,16,512,1,1,1
flash,512k,18,512,1,1,1
flash,512k,20,512,1,1,1
flash,512k,22,512,1,1,1
flash,512k,24,512,1,1,1
flash,512k,26,512,1,1,1
flash,512k,28,512,1,1,1
flash,512k,30,512,1,1,1
flash,512k,32,512,1,1,1
flash,512k,34,512,1,1,1
flash,512k,36,512,1,1,1
flash,512k,38,512,1,1,1
flash,512k,40,512,1,1,1
flash,512k,42,512,1,1,1
flash,64k,2,512,1,1,1
flash,64k,4,512,1,1,1
flash,64k,6,512,1,1,1
flash,64k,8,512,1,1,1
flash,64k,10,512,1,1,1
flash,64k,12,512,1,1,1
flash,64k,14,512,1,1,1
flash,64k,16,512,1,1,1
flash,64k,18,512,1,1,1
flash,64k,20,512,1,1,1
flash,64k,22,512,1,1,1
flash,64k,24,512,1,1,1
flash,64k,26,512,1,1,1
flash,64k,28,512,1,1,1
flash,64k,30,512,1,1,1
flash,64k,32,512,1,1,1
flash,64k,34,512,1,1,1
flash,64k,36,512,1,1,1
flash,64k,38,512,1,1,1
flash,64k,40,512,1,1,1
flash,64k,42,512,1,1,1
pro,1024k,2,1024,1,1,1
pro,1024k,4,1024,1,1,1
pro,1024k,6,1024,1,1,1
pro,1024k,8,1024,1,1,1
pro,1024k,10,1024,1,1,1
pro,1024k,12,1024,1,1,1
pro,1024k,14,1024,1,1,1
pro,1024k,16,1024,1,1,1
pro,1024k,18,1024,1,1,1
pro,1024k,20,1024,1,1,1
pro,1024k,22,1024,1,1,1
pro,1024k,24,1024,1,1,1
pro,1024k,26,1024,1,1,1
pro,1024k,28,1024,1,1,1
pro,1024k,30,1024,1,1,1
pro,1024k,32,1024,1,1,1
pro,1024k,34,1024,1,1,1
pro,1024k,36,1024,1,1,1
pro,1024k,38,1024,1,1,1
pro,1024k,40,1024,0,0,0
pro,1024k,42,1024,1,1,1
pro,1024k,44,1024,1,1,1
pro,1024k,46,1024,1,1,1
pro,1024k,48,1024,1,1,0
pro,1024k,50,1024,1,1,1
pro,1024k,52,1024,1,1,1
pro,1024k,54,1024,1,1,1
pro,1024k,56,1024,1,1,1
pro,1024k,58,1024,1,1,1
pro,1024k,60,1024,1,1,1
pro,128k,2,1024,1,1,1
pro,128k,4,1024,1,1,1
pro,128k,6,1024,1,1,1
pro,128k,8,1024,1,1,1
pro,128k,10,1024,1,1,1
pro,128k,12,1024,1,1,1
pro,128k,14,1024,1,1,1
pro,128k,16,1024,1,1,1
pro,128k,18,1024,1,1,1
pro,128k,20,1024,1,1,1
pro,128k,22,1024,1,1,1
pro,128k,24,1024,1,1,1
pro,128k,26,1024,1,1,1
pro,128k,28,1024,1,1,1
pro,128k,30,1024,1,1,1
pro,128k,32,1024,1,1,1
pro,128k,34,1024,1,1,1
pro,128k,36,1024,1,1,1
pro,128k,38,1024,1,1,1
pro,128k,40,1024,1,1,1
pro,128k,42,1024,1,1,1
pro,128k,44,1024,1,1,1
pro,128k,46,1024,1,1,1
pro,128k,48,1024,1,1,1
pro,128k,50,1024,1,1,1
pro,128k,52,1024,1,1,1
pro,128k,54,1024,1,1,1
pro,128k,56,1024,1,1,1
pro,128k,58,1024,1,1,1
pro,128k,60,1024,1,1,1
pro,256k,2,1024,1,1,1
pro,256k,4,1024,1,1,1
pro,256k,6,1024,1,1,1
pro,256k,8,1024,1,1,1
pro,256k,10,1024,1,1,1
pro,256k,12,1024,1,1,1
pro,256k,14,1024,1,1,1
pro,256k,16,1024,1,1,1
pro,256k,18,1024,1,1,1
pro,256k,20,1024,1,1,1
pro,256k,22,1024,1,1,1
pro,256k,24,1024,1,1,1
pro,256k,26,1024,1,1,1
pro,256k,28,1024,1,1,1
pro,256k,30,1024,1,1,1
pro,256k,32,1024,1,1,1
pro,256k,34,1024,1,1,1
pro,256k,36,1024,1,1,1
pro,256k,38,1024,1,1,1
pro,256k,40,1024,1,1,1
pro,256k,42,1024,1,1,1
pro,256k,44,1024,1,1,1
pro,256k,46,1024,1,1,1
pro,256k,48,1024,1,1,1
pro,256k,50,1024,1,1,1
pro,256k,52,1024,1,1,1
pro,256k,54,1024,1,1,1
pro,256k,56,1024,1,1,1
pro,256k,58,1024,1,1,1
pro,256k,60,1024,1,1,1
pro,512k,2,1024,1,1,1
pro,512k,4,1024,1,1,1
pro,512k,6,1024,1,1,1
pro,512k,8,1024,1,1,1
pro,512k,10,1024,1,1,1
pro,512k,12,1024,1,1,1
pro,512k,14,1024,1,1,1
pro,512k,16,1024,1,1,1
pro,512k,18,1024,1,1,1
pro,512k,20,1024,1,1,1
pro,512k,22,1024,1,1,1
pro,512k,24,1024,1,1,1
pro,512k,26,1024,1,1,1
pro,512k,28,1024,1,1,1
pro,512k,30,1024,1,1,1
pro,512k,32,1024,1,1,1
pro,512k,34,1024,1,1,1
pro,512k,36,1024,1,1,1
pro,512k,38,1024,1,1,1
pro,512k,40,1024,1,1,1
pro,512k,42,1024,1,1,1
pro,512k,44,1024,1,1,1
pro,512k,46,1024,1,1,1
pro,512k,48,1024,1,1,1
pro,512k,50,1024,1,1,1
pro,512k,52,1024,1,1,1
pro,512k,54,1024,1,1,1
pro,512k,56,1024,1,1,1
pro,512k,58,1024,1,1,1
pro,512k,60,1024,1,1,1
pro,64k,2,1024,1,1,1
pro,64k,4,1024,1,1,1
pro,64k,6,1024,1,1,1
pro,64k,8,1024,1,1,1
pro,64k,10,1024,1,1,1
pro,64k,12,1024,1,1,1
pro,64k,14,1024,1,1,1
pro,64k,16,1024,1,1,1
pro,64k,18,1024,1,1,1
pro,64k,20,1024,1,1,1
pro,64k,22,1024,1,1,1
pro,64k,24,1024,1,1,1
pro,64k,26,1024,1,1,1
pro,64k,28,1024,1,1,1
pro,64k,30,1024,1,1,1
pro,64k,32,1024,1,1,1
pro,64k,34,1024,1,1,1
pro,64k,36,1024,1,1,1
pro,64k,38,1024,1,1,1
pro,64k,40,1024,1,1,1
pro,64k,42,1024,1,1,1
pro,64k,44,1024,1,1,1
pro,64k,46,1024,1,1,1
pro,64k,48,1024,1,1,1
pro,64k,50,1024,1,1,1
pro,64k,52,1024,1,1,1
pro,64k,54,1024,1,1,1
pro,64k,56,1024,1,1,1
pro,64k,58,1024,1,1,1
pro,64k,60,1024,1,1,1
v32,128k,3,2048,1,1,1
v32,128k,4,2048,1,1,1
v32,128k,5,2048,1,1,1
v32,128k,6,2048,1,1,1
v32,128k,7,2048,1,1,1
v32,128k,8,2048,1,1,1
v32,128k,9,2048,1,1,1
v32,128k,10,2048,1,1,1
v32,128k,11,2048,1,1,1
v32,128k,12,2048,1,1,1
v32,128k,13,2048,1,1,1
v32,128k,14,2048,1,1,1
v32,128k,15,2048,1,1,1
v32,128k,16,2048,1,1,1
v32,128k,17,2048,1,1,1
v32,128k,18,2048,1,1,1
v32,128k,19,2048,1,1,1
v32,128k,20,2048,1,1,1
v32,128k,21,2048,1,1,1
v32,128k,22,2048,1,1,1
v32,128k,23,2048,1,1,1
v32,128k,24,2048,1,1,1
v32,128k,25,2048,1,1,1
v32,128k,26,2048,1,1,1
v32,128k,27,2048,1,1,1
v32,128k,28,2048,1,1,1
v32,128k,29,2048,1,1,1
v32,128k,30,2048,1,1,1
v32,128k,31,2048,1,1,1
v32,128k,32,2048,1,1,1
v32,128k,33,2048,1,1,1
v32,128k,34,2048,1,1,1
v32,128k,35,2048,1,1,1
v32,128k,36,2048,1,1,1
v32,128k,37,2048,1,1,1
v32,128k,38,2048,1,1,1
v32,128k,39,2048,1,1,1
v32,128k,40,2048,1,1,1
v32,128k,41,2048,1,1,1
v32,128k,42,2048,1,1,1
v32,128k,43,2048,1,1,1
v32,128k,44,2048,1,1,1
v32,128k,45,2048,1,1,1
v32,128k,46,2048,1,1,1
v32,128k,47,2048,1,1,1
v32,128k,48,2048,1,1,1
v32,128k,49,2048,1,1,1
v32,128k,50,2048,1,1,1
v32,128k,51,2048,1,1,1
v32,128k,52,2048,1,1,1
v32,128k,53,2048,1,1,1
v32,128k,54,2048,1,1,1
v32,128k,55,2048,1,1,1
v32,128k,56,2048,1,1,1
v32,128k,57,2048,1,1,1
v32,128k,58,2048,1,1,1
v32,128k,59,2048,1,1,1
v32,128k,60,2048,1,1,1
v32,16k,3,2048,1,1,1
v32,16k,4,2048,1,1,1
v32,16k,5,2048,1,1,1
v32,16k,6,2048,1,1,1
v32,16k,7,2048,1,1,1
v32,16k,8,2048,1,1,1
v32,16k,9,2048,1,1,1
v32,16k,10,2048,1,1,1
v32,16k,11,2048,1,1,1
v32,16k,12,2048,1,1,1
v32,16k,13,2048,1,1,1
v32,16k,14,2048,1,1,1
v32,16k,15,2048,1,1,1
v32,16k,16,2048,1,1,1
v32,16k,17,2048,1,1,1
v32,16k,18,2048,1,1,1
v32,16k,19,2048,1,1,1
v32,16k,20,2048,1,1,1
v32,16k,21,2048,1,1,1
v32,16k,22,2048,1,1,1
v32,16k,23,2048,1,1,1
v32,16k,24,2048,1,1,1
v32,16k,25,2048,1,1,1
v32,16k,26,2048,1,1,1
v32,16k,27,2048,1,1,1
v32,16k,28,2048,1,1,1
v32,16k,29,2048,1,1,1
v32,16k,30,2048,1,1,1
v32,16k,31,2048,1,1,1
v32,16k,32,2048,1,1,1
v32,16k,33,2048,1,1,1
v32,16k,34,2048,1,1,1
v32,16k,35,2048,1,1,1
v32,16k,36,2048,1,1,1
v32,16k,37,2048,1,1,1
v32,16k,38,2048,1,1,1
v32,16k,39,2048,1,1,1
v32,16k,40,2048,1,1,1
v32,16k,41,2048,1,1,1
v32,16k,42,2048,1,1,1
v32,16k,43,2048,1,1,1
v32,16k,44,2048,1,1,1
v32,16k,45,2048,1,1,1
v32,16k,46,2048,1,1,1
v32,16k,47,2048,1,1,1
v32,16k,48,2048,1,1,1
v32,16k,49,2048,1,1,1
v32,16k,50,2048,1,1,1
v32,16k,51,2048,1,1,1
v32,16k,52,2048,1,1,1
v32,16k,53,2048,1,1,1
v32,16k,54,2048,1,1,1
v32,16k,55,2048,1,1,1
v32,16k,56,2048,1,1,1
v32,16k,57,2048,1,1,1
v32,16k,58,2048,1,1,1
v32,16k,59,2048,1,1,1
v32,16k,60,2048,1,1,1
v32,256k,3,2048,1,1,1
v32,256k,4,2048,1,1,1
v32,256k,5,2048,1,1,1
v32,256k,6,2048,1,1,1
v32,256k,7,2048,1,1,1
v32,256k,8,2048,1,1,1
v32,256k,9,2048,1,1,1
v32,256k,10,2048,1,1,1
v32,256k,11,2048,1,1,1
v32,256k,12,2048,1,1,1
v32,256k,13,2048,1,1,1
v32,256k,14,2048,1,1,1
v32,256k,15,2048,1,1,1
v32,256k,16,2048,1,1,1
v32,256k,17,2048,1,1,1
v32,256k,18,2048,1,1,1
v32,256k,19,2048,1,1,1
v32,256k,20,2048,1,1,1
v32,256k,21,2048,1,1,1
v32,256k,22,2048,1,1,1
v32,256k,23,2048,1,1,1
v32,256k,24,2048,1,1,1
v32,256k,25,2048,1,1,1
v32,256k,26,2048,1,1,1
v32,256k,27,2048,1,1,1
v32,256k,28,2048,1,1,1
v32,256k,29,2048,1,1,1
v32,256k,30,2048,1,1,1
v32,256k,31,2048,1,1,1
v32,256k,32,2048,1,1,1
v32,256k,33,2048,1,1,1
v32,256k,34,2048,1,1,1
v32,256k,35,2048,1,1,1
v32,256k,36,2048,1,1,1
v32,256k,37,2048,1,1,1
v32,256k,38,2048,1,1,1
v32,256k,39,2048,1,1,1
v32,256k,40,2048,1,1,1
v32,256k,41,2048,1,1,1
v32,256k,42,2048,1,1,1
v32,256k,43,2048,1,1,1
v32,256k,44,2048,1,1,1
v32,256k,45,2048,1,1,1
v32,256k,46,2048,1,1,1
v32,256k,47,2048,1,1,1
v32,256k,48,2048,1,1,1
v32,256k,49,2048,1,1,1
v32,256k,50,2048,1,1,1
v32,256k,51,2048,1,1,1
v32,256k,52,2048,1,1,1
v32,256k,53,2048,1,1,1
v32,256k,54,2048,1,1,1
v32,256k,55,2048,1,1,1
v32,256k,56,2048,1,1,1
v32,256k,57,2048,1,1,1
v32,256k,58,2048,1,1,1
v32,256k,59,2048,1,1,1
v32,256k,60,2048,1,1,1
v32,32k,3,2048,1,1,1
v32,32k,4,2048,1,1,1
v32,32k,5,2048,1,1,1
v32,32k,6,2048,1,1,1
v32,32k,7,2048,1,1,1
v32,32k,8,2048,1,1,1
v32,32k,9,2048,1,1,1
v32,32k,10,2048,1,1,1
v32,32k,11,2048,1,1,1
v32,32k,12,2048,1,1,1
v32,32k,13,2048,1,1,1
v32,32k,14,2048,1,1,1
v32,32k,15,2048,1,1,1
v32,32k,16,2048,1,1,1
v32,32k,17,2048,1,1,1
v32,32k,18,2048,1,1,1
v32,32k,19,2048,1,1,1
v32,32k,20,2048,1,1,1
v32,32k,21,2048,1,1,1
v32,32k,22,2048,1,1,1
v32,32k,23,2048,1,1,1
v32,32k,24,2048,1,1,1
v32,32k,25,2048,1,1,1
v32,32k,26,2048,1,1,1
v32,32k,27,2048,1,1,1
v32,32k,28,2048,1,1,1
v32,32k,29,2048,1,1,1
v32,32k,30,2048,1,1,1
v32,32k,31,2048,1,1,1
v32,32k,32,2048,1,1,1
v32,32k,33,2048,1,1,1
v32,32k,34,2048,1,1,1
v32,32k,35,2048,1,1,1
v32,32k,36,2048,1,1,1
v32,32k,37,2048,1,1,1
v32,32k,38,2048,1,1,1
v32,32k,39,2048,1,1,1
v32,32k,40,2048,1,1,1
v32,32k,41,2048,1,1,1
v32,32k,42,2048,1,1,1
v32,32k,43,2048,1,1,1
v32,32k,44,2048,1,1,1
v32,32k,45,2048,1,1,1
v32,32k,46,2048,1,1,1
v32,32k,47,2048,1,1,1
v32,32k,48,2048,1,1,1
v32,32k,49,2048,1,1,1
v32,32k,50,2048,1,1,1
v32,32k,51,2048,1,1,1
v32,32k,52,2048,1,1,1
v32,32k,53,2048,1,1,1
v32,32k,54,2048,1,1,1
v32,32k,55,2048,1,1,1
v32,32k,56,2048,1,1,1
v32,32k,57,2048,1,1,1
v32,32k,58,2048,1,1,1
v32,32k,59,2048,1,1,1
v32,32k,60,2048,1,1,1
v32,64k,3,2048,1,1,1
v32,64k,4,2048,1,1,1
v32,64k,5,2048,1,1,1
v32,64k,6,2048,1,1,1
v32,64k,7,2048,1,1,1
v32,64k,8,2048,1,1,1
v32,64k,9,2048,1,1,1
v32,64k,10,2048,1,1,1
v32,64k,11,2048,1,1,1
v32,64k,12,2048,1,1,1
v32,64k,13,2048,1,1,1
v32,64k,14,2048,1,1,1
v32,64k,15,2048,1,1,1
v32,64k,16,2048,1,1,1
v32,64k,17,2048,1,1,1
v32,64k,18,2048,1,1,1
v32,64k,19,2048,1,1,1
v32,64k,20,2048,1,1,1
v32,64k,21,2048,1,1,1
v32,64k,22,2048,1,1,1
v32,64k,23,2048,1,1,1
v32,64k,24,2048,1,1,1
v32,64k,25,2048,1,1,1
v32,64k,26,2048,1,1,1
v32,64k,27,2048,1,1,1
v32,64k,28,2048,1,1,1
v32,64k,29,2048,1,1,1
v32,64k,30,2048,1,1,1
v32,64k,31,2048,1,1,1
v32,64k,32,2048,1,1,1
v32,64k,33,2048,1,1,1
v32,64k,34,2048,1,1,1
v32,64k,35,2048,1,1,1
v32,64k,36,2048,1,1,1
v32,64k,37,2048,1,1,1
v32,64k,38,2048,1,1,1
v32,64k,39,2048,1,1,1
v32,64k,40,2048,1,1,1
v32,64k,41,2048,1,1,1
v32,64k,42,2048,1,1,1
v32,64k,43,2048,1,1,1
v32,64k,44,2048,1,1,1
v32,64k,45,2048,1,1,1
v32,64k,46,2048,1,1,1
v32,64k,47,2048,1,1,1
v32,64k,48,2048,1,1,1
v32,64k,49,2048,1,1,1
v32,64k,50,2048,1,1,1
v32,64k,51,2048,1,1,1
v32,64k,52,2048,1,1,1
v32,64k,53,2048,1,1,1
v32,64k,54,2048,1,1,1
v32,64k,55,2048,1,1,1
v32,64k,56,2048,1,1,1
v32,64k,57,2048,1,1,1
v32,64k,58,2048,1,1,1
v32,64k,59,2048,1,1,1
v32,64k,60,2048,1,1,1
